trade_id,business_date,order_id,account_id,customer_id,instrument_id,trade_side,trade_timestamp,executed_quantity,executed_price,brokerage_fee,tax_amount
TRD00000001,2026-04-19,ORD202604190000001,ACC000443,CUST000017,INS00003,BUY,2026-04-19T09:15:29,5,235.45,5.00,0.21
TRD00000002,2026-04-19,ORD202604190000002,ACC000367,CUST000359,INS00017,BUY,2026-04-19T09:15:46,100,1757.41,52.72,31.63
TRD00000003,2026-04-19,ORD202604190000003,ACC000671,CUST000323,INS00028,SELL,2026-04-19T09:15:50,25,1068.76,8.02,4.81
TRD00000004,2026-04-19,ORD202604190000004,ACC000458,CUST000053,INS00011,SELL,2026-04-19T09:15:26,5,247.43,5.00,0.22
TRD00000005,2026-04-19,ORD202604190000005,ACC000256,CUST000437,INS00025,BUY,2026-04-19T09:15:51,20,1992.30,11.95,7.17
TRD00000006,2026-04-19,ORD202604190000006,ACC000529,CUST000314,INS00099,BUY,2026-04-19T09:15:16,100,673.45,20.20,12.12
TRD00000007,2026-04-19,ORD202604190000007,ACC000717,CUST000036,INS00086,SELL,2026-04-19T09:15:18,10,1211.87,5.00,2.18
TRD00000008,2026-04-19,ORD202604190000008,ACC000758,CUST000051,INS00067,SELL,2026-04-19T09:15:44,2,700.83,5.00,0.25
TRD00000009,2026-04-19,ORD202604190000009,ACC000300,CUST000395,INS00015,SELL,2026-04-19T09:15:33,10,1552.00,5.00,2.79
TRD00000010,2026-04-19,ORD202604190000011,ACC000222,CUST000199,INS00048,SELL,2026-04-19T09:16:06,2,689.49,5.00,0.25
TRD00000011,2026-04-19,ORD202604190000012,ACC000088,CUST000042,INS00008,BUY,2026-04-19T09:15:34,25,1597.39,11.98,7.19
TRD00000012,2026-04-19,ORD202604190000013,ACC000437,CUST000138,INS00072,SELL,2026-04-19T09:15:36,25,1927.76,14.46,8.67
TRD00000013,2026-04-19,ORD202604190000017,ACC000745,CUST000266,INS00047,SELL,2026-04-19T09:15:29,100,120.90,5.00,2.18
TRD00000014,2026-04-19,ORD202604190000018,ACC000328,CUST000494,INS00042,SELL,2026-04-19T09:16:29,2,1636.59,5.00,0.59
TRD00000015,2026-04-19,ORD202604190000019,ACC000760,CUST000382,INS00020,SELL,2026-04-19T09:15:51,20,865.02,5.19,3.11
TRD00000016,2026-04-19,ORD202604190000020,ACC000065,CUST000299,INS00107,BUY,2026-04-19T09:15:57,5,533.97,5.00,0.48
TRD00000017,2026-04-19,ORD202604190000022,ACC000072,CUST000360,INS00047,BUY,2026-04-19T09:16:03,10,1517.99,5.00,2.73
TRD00000018,2026-04-19,ORD202604190000023,ACC000117,CUST000469,INS00060,SELL,2026-04-19T09:16:15,1,932.75,5.00,0.17
TRD00000019,2026-04-19,ORD202604190000024,ACC000364,CUST000295,INS00068,SELL,2026-04-19T09:15:44,1,1813.25,5.00,0.33
TRD00000020,2026-04-19,ORD202604190000025,ACC000148,CUST000440,INS00093,BUY,2026-04-19T09:17:00,10,1331.01,5.00,2.40
TRD00000021,2026-04-19,ORD202604190000026,ACC000785,CUST000328,INS00081,SELL,2026-04-19T09:16:54,5,1382.99,5.00,1.24
TRD00000022,2026-04-19,ORD202604190000027,ACC000630,CUST000059,INS00090,BUY,2026-04-19T09:16:42,50,2118.77,31.78,19.07
TRD00000023,2026-04-19,ORD202604190000028,ACC000691,CUST000097,INS00044,SELL,2026-04-19T09:16:16,5,1332.74,5.00,1.20
TRD00000024,2026-04-19,ORD202604190000031,ACC000052,CUST000452,INS00037,SELL,2026-04-19T09:16:19,1,1287.45,5.00,0.23
TRD00000025,2026-04-19,ORD202604190000033,ACC000140,CUST000099,INS00005,BUY,2026-04-19T09:16:14,100,943.06,28.29,16.98
TRD00000026,2026-04-19,ORD202604190000036,ACC000056,CUST000436,INS00094,BUY,2026-04-19T09:16:49,50,298.77,5.00,2.69
TRD00000027,2026-04-19,ORD202604190000038,ACC000079,CUST000461,INS00040,BUY,2026-04-19T09:17:39,1,858.70,5.00,0.15
TRD00000028,2026-04-19,ORD202604190000039,ACC000220,CUST000069,INS00007,BUY,2026-04-19T09:16:31,50,2332.18,34.98,20.99
TRD00000029,2026-04-19,ORD202604190000041,ACC000757,CUST000154,INS00052,SELL,2026-04-19T09:16:10,20,310.03,5.00,1.12
TRD00000030,2026-04-19,ORD202604190000044,ACC000573,CUST000383,INS00055,SELL,2026-04-19T09:17:25,25,902.58,6.77,4.06
TRD00000031,2026-04-19,ORD202604190000046,ACC000066,CUST000335,INS00119,SELL,2026-04-19T09:17:54,10,575.26,5.00,1.04
TRD00000032,2026-04-19,ORD202604190000047,ACC000167,CUST000483,INS00095,BUY,2026-04-19T09:16:06,1,665.00,5.00,0.12
TRD00000033,2026-04-19,ORD202604190000048,ACC000165,CUST000365,INS00040,SELL,2026-04-19T09:17:35,100,1188.73,35.66,21.40
TRD00000034,2026-04-19,ORD202604190000049,ACC000283,CUST000305,INS00070,BUY,2026-04-19T09:16:51,20,1376.26,8.26,4.95
TRD00000035,2026-04-19,ORD202604190000050,ACC000350,CUST000182,INS00022,SELL,2026-04-19T09:17:09,1,765.80,5.00,0.14
TRD00000036,2026-04-19,ORD202604190000051,ACC000097,CUST000307,INS00050,SELL,2026-04-19T09:16:25,20,1637.46,9.82,5.89
TRD00000037,2026-04-19,ORD202604190000052,ACC000531,CUST000024,INS00030,BUY,2026-04-19T09:17:25,50,1280.18,19.20,11.52
TRD00000038,2026-04-19,ORD202604190000053,ACC000262,CUST000463,INS00026,BUY,2026-04-19T09:16:29,100,1396.48,41.89,25.14
TRD00000039,2026-04-19,ORD202604190000054,ACC000461,CUST000142,INS00063,BUY,2026-04-19T09:18:14,50,1818.56,27.28,16.37
TRD00000040,2026-04-19,ORD202604190000055,ACC000488,CUST000274,INS00081,SELL,2026-04-19T09:18:04,20,655.20,5.00,2.36
TRD00000041,2026-04-19,ORD202604190000056,ACC000532,CUST000361,INS00114,SELL,2026-04-19T09:16:14,1,2261.00,5.00,0.41
TRD00000042,2026-04-19,ORD202604190000059,ACC000746,CUST000346,INS00017,BUY,2026-04-19T09:17:18,10,1626.13,5.00,2.93
