business_date,instrument_id,close_price
2026-04-20,INS00001,773.87
2026-04-20,INS00002,361.50
2026-04-20,INS00003,1920.09
2026-04-20,INS00004,1683.14
2026-04-20,INS00005,2111.32
2026-04-20,INS00006,1003.23
2026-04-20,INS00007,2251.60
2026-04-20,INS00008,1202.85
2026-04-20,INS00009,1293.20
2026-04-20,INS00010,1110.10
2026-04-20,INS00011,852.16
2026-04-20,INS00012,1018.50
2026-04-20,INS00013,713.12
2026-04-20,INS00014,1967.95
2026-04-20,INS00015,558.84
2026-04-20,INS00016,847.43
2026-04-20,INS00017,2019.67
2026-04-20,INS00018,1479.00
2026-04-20,INS00019,862.62
2026-04-20,INS00020,2139.22
2026-04-20,INS00021,1825.16
2026-04-20,INS00022,271.64
2026-04-20,INS00023,796.37
2026-04-20,INS00024,589.42
2026-04-20,INS00025,993.88
2026-04-20,INS00026,1892.98
2026-04-20,INS00027,313.19
2026-04-20,INS00028,2497.90
2026-04-20,INS00029,1816.82
2026-04-20,INS00030,2130.05
2026-04-20,INS00031,244.48
2026-04-20,INS00032,1646.37
2026-04-20,INS00033,1807.53
2026-04-20,INS00034,485.49
2026-04-20,INS00035,1743.01
2026-04-20,INS00036,2435.19
2026-04-20,INS00037,2283.70
2026-04-20,INS00038,1127.21
2026-04-20,INS00039,2206.58
2026-04-20,INS00040,1594.31
2026-04-20,INS00041,1122.36
2026-04-20,INS00042,444.24
2026-04-20,INS00043,669.72
2026-04-20,INS00044,785.32
2026-04-20,INS00045,1829.14
2026-04-20,INS00046,1897.45
2026-04-20,INS00047,2238.77
2026-04-20,INS00048,1995.80
2026-04-20,INS00049,2477.06
2026-04-20,INS00050,279.49
2026-04-20,INS00051,842.29
2026-04-20,INS00052,1733.65
2026-04-20,INS00053,225.89
2026-04-20,INS00054,1574.57
2026-04-20,INS00055,2373.36
2026-04-20,INS00056,981.36
2026-04-20,INS00057,1855.61
2026-04-20,INS00058,2326.48
2026-04-20,INS00059,1032.17
2026-04-20,INS00060,834.67
2026-04-20,INS00061,1580.75
2026-04-20,INS00062,1685.28
2026-04-20,INS00063,2421.56
2026-04-20,INS00064,2299.65
2026-04-20,INS00065,1768.52
2026-04-20,INS00066,2138.30
2026-04-20,INS00067,653.02
2026-04-20,INS00068,1739.98
2026-04-20,INS00069,1403.46
2026-04-20,INS00070,1907.64
2026-04-20,INS00071,1262.41
2026-04-20,INS00072,2467.87
2026-04-20,INS00073,529.75
2026-04-20,INS00074,537.51
2026-04-20,INS00075,1332.21
2026-04-20,INS00076,1143.08
2026-04-20,INS00077,153.11
2026-04-20,INS00078,720.31
2026-04-20,INS00079,857.23
2026-04-20,INS00080,1251.36
2026-04-20,INS00081,293.71
2026-04-20,INS00082,1044.23
2026-04-20,INS00083,829.36
2026-04-20,INS00084,276.06
2026-04-20,INS00085,2251.42
2026-04-20,INS00086,248.07
2026-04-20,INS00087,212.29
2026-04-20,INS00088,249.17
2026-04-20,INS00089,2300.40
2026-04-20,INS00090,458.80
2026-04-20,INS00091,1863.92
2026-04-20,INS00092,1929.61
2026-04-20,INS00093,1821.73
2026-04-20,INS00094,878.86
2026-04-20,INS00095,1788.77
2026-04-20,INS00096,1631.62
2026-04-20,INS00097,364.87
2026-04-20,INS00098,562.09
2026-04-20,INS00099,200.00
2026-04-20,INS00100,642.50
2026-04-20,INS00101,324.15
2026-04-20,INS00102,322.65
2026-04-20,INS00103,558.95
2026-04-20,INS00104,1799.56
2026-04-20,INS00105,482.69
2026-04-20,INS00106,1991.40
2026-04-20,INS00107,1509.23
2026-04-20,INS00108,920.60
2026-04-20,INS00109,2380.46
2026-04-20,INS00110,634.27
2026-04-20,INS00111,444.98
2026-04-20,INS00112,2457.05
2026-04-20,INS00113,408.29
2026-04-20,INS00114,2175.06
2026-04-20,INS00115,1109.43
2026-04-20,INS00116,1780.03
2026-04-20,INS00117,2395.49
2026-04-20,INS00118,232.58
2026-04-20,INS00119,1458.89
2026-04-20,INS00120,900.48
