order_id,business_date,account_id,customer_id,instrument_id,order_timestamp,order_side,order_type,ordered_quantity,limit_price,order_status
ORD202604200000001,2026-04-20,ACC000350,CUST000182,INS00004,2026-04-20T09:15:01,SELL,LIMIT,10,1431.74,CANCELLED
ORD202604200000002,2026-04-20,ACC000526,CUST000357,INS00037,2026-04-20T09:15:06,SELL,MARKET,20,727.77,COMPLETED
ORD202604200000003,2026-04-20,ACC000441,CUST000400,INS00093,2026-04-20T09:15:09,SELL,MARKET,50,1935.03,COMPLETED
ORD202604200000004,2026-04-20,ACC000115,CUST000107,INS00071,2026-04-20T09:15:04,SELL,LIMIT,50,1628.25,COMPLETED
ORD202604200000005,2026-04-20,ACC000340,CUST000285,INS00043,2026-04-20T09:15:10,SELL,MARKET,10,2013.39,COMPLETED
ORD202604200000006,2026-04-20,ACC000082,CUST000203,INS00110,2026-04-20T09:15:12,BUY,MARKET,2,1057.11,COMPLETED
ORD202604200000007,2026-04-20,ACC000173,CUST000464,INS00034,2026-04-20T09:15:14,SELL,LIMIT,5,329.45,COMPLETED
ORD202604200000008,2026-04-20,ACC000252,CUST000375,INS00112,2026-04-20T09:15:24,BUY,LIMIT,50,602.86,REJECTED
ORD202604200000009,2026-04-20,ACC000257,CUST000051,INS00114,2026-04-20T09:15:18,SELL,LIMIT,10,564.50,COMPLETED
ORD202604200000010,2026-04-20,ACC000364,CUST000295,INS00047,2026-04-20T09:15:10,BUY,LIMIT,25,1942.20,COMPLETED
ORD202604200000011,2026-04-20,ACC000395,CUST000088,INS00120,2026-04-20T09:15:22,BUY,LIMIT,5,311.64,CANCELLED
ORD202604200000012,2026-04-20,ACC000791,CUST000393,INS00034,2026-04-20T09:15:36,SELL,LIMIT,20,2380.91,CANCELLED
ORD202604200000013,2026-04-20,ACC000240,CUST000316,INS00098,2026-04-20T09:15:39,SELL,LIMIT,2,1560.45,COMPLETED
ORD202604200000014,2026-04-20,ACC000519,CUST000049,INS00031,2026-04-20T09:15:42,BUY,MARKET,2,2170.25,COMPLETED
ORD202604200000015,2026-04-20,ACC000179,CUST000055,INS00117,2026-04-20T09:15:15,SELL,LIMIT,50,742.69,REJECTED
ORD202604200000016,2026-04-20,ACC000532,CUST000361,INS00037,2026-04-20T09:15:32,SELL,LIMIT,5,1457.53,COMPLETED
ORD202604200000017,2026-04-20,ACC000285,CUST000216,INS00042,2026-04-20T09:15:51,SELL,MARKET,10,1606.14,COMPLETED
ORD202604200000018,2026-04-20,ACC000493,CUST000034,INS00031,2026-04-20T09:15:36,SELL,LIMIT,1,259.43,COMPLETED
ORD202604200000019,2026-04-20,ACC000113,CUST000138,INS00103,2026-04-20T09:15:19,SELL,MARKET,10,2073.12,REJECTED
ORD202604200000020,2026-04-20,ACC000071,CUST000233,INS00044,2026-04-20T09:15:40,BUY,MARKET,100,1973.11,COMPLETED
ORD202604200000021,2026-04-20,ACC000114,CUST000097,INS00004,2026-04-20T09:15:21,SELL,LIMIT,2,439.92,COMPLETED
ORD202604200000022,2026-04-20,ACC000736,CUST000183,INS00082,2026-04-20T09:16:06,SELL,MARKET,50,2262.68,COMPLETED
ORD202604200000023,2026-04-20,ACC000102,CUST000155,INS00118,2026-04-20T09:15:46,BUY,LIMIT,20,1560.74,CANCELLED
ORD202604200000024,2026-04-20,ACC000168,CUST000053,INS00093,2026-04-20T09:16:12,SELL,LIMIT,1,980.97,COMPLETED
ORD202604200000025,2026-04-20,ACC000426,CUST000213,INS00078,2026-04-20T09:16:15,BUY,LIMIT,2,2128.57,COMPLETED
