fund_movement_id,business_date,account_id,movement_type,amount,currency_code
FND00000001,2026-04-21,ACC000504,TRADE_SETTLEMENT,4180.00,INR
FND00000002,2026-04-21,ACC000133,TRADE_SETTLEMENT,2938.10,INR
FND00000003,2026-04-21,ACC000344,TRADE_SETTLEMENT,46394.00,INR
FND00000004,2026-04-21,ACC000458,TRADE_SETTLEMENT,-20727.00,INR
FND00000005,2026-04-21,ACC000701,TRADE_SETTLEMENT,-15555.60,INR
FND00000006,2026-04-21,ACC000723,TRADE_SETTLEMENT,2164.12,INR
FND00000007,2026-04-21,ACC000758,TRADE_SETTLEMENT,44520.00,INR
FND00000008,2026-04-21,ACC000758,DEPOSIT,5000.00,INR
FND00000009,2026-04-21,ACC000115,TRADE_SETTLEMENT,-277.08,INR
FND00000010,2026-04-21,ACC000766,TRADE_SETTLEMENT,-2032.60,INR
FND00000011,2026-04-21,ACC000449,TRADE_SETTLEMENT,-484.24,INR
FND00000012,2026-04-21,ACC000449,DEPOSIT,5000.00,INR
FND00000013,2026-04-21,ACC000671,TRADE_SETTLEMENT,-658.32,INR
FND00000014,2026-04-21,ACC000671,DEPOSIT,10000.00,INR
FND00000015,2026-04-21,ACC000056,TRADE_SETTLEMENT,-49299.50,INR
FND00000016,2026-04-21,ACC000283,TRADE_SETTLEMENT,40256.40,INR
FND00000017,2026-04-21,ACC000283,DEPOSIT,5000.00,INR
FND00000018,2026-04-21,ACC000322,TRADE_SETTLEMENT,4668.66,INR
FND00000019,2026-04-21,ACC000346,TRADE_SETTLEMENT,3245.74,INR
FND00000020,2026-04-21,ACC000273,TRADE_SETTLEMENT,-20127.30,INR
FND00000021,2026-04-21,ACC000746,TRADE_SETTLEMENT,43749.00,INR
FND00000022,2026-04-21,ACC000038,TRADE_SETTLEMENT,-10668.10,INR
FND00000023,2026-04-21,ACC000038,DEPOSIT,50000.00,INR
FND00000024,2026-04-21,ACC000143,TRADE_SETTLEMENT,-195290.00,INR
FND00000025,2026-04-21,ACC000041,TRADE_SETTLEMENT,21121.40,INR
FND00000026,2026-04-21,ACC000254,TRADE_SETTLEMENT,-6925.00,INR
FND00000027,2026-04-21,ACC000037,TRADE_SETTLEMENT,-34554.50,INR
FND00000028,2026-04-21,ACC000270,TRADE_SETTLEMENT,-6780.50,INR
FND00000029,2026-04-21,ACC000071,TRADE_SETTLEMENT,-1583.96,INR
FND00000030,2026-04-21,ACC000130,TRADE_SETTLEMENT,-22155.00,INR
FND00000031,2026-04-21,ACC000761,TRADE_SETTLEMENT,-6371.20,INR
FND00000032,2026-04-21,ACC000761,DEPOSIT,5000.00,INR
FND00000033,2026-04-21,ACC000355,TRADE_SETTLEMENT,1564.58,INR
FND00000034,2026-04-21,ACC000670,TRADE_SETTLEMENT,23493.60,INR
FND00000035,2026-04-21,ACC000043,TRADE_SETTLEMENT,45609.00,INR
FND00000036,2026-04-21,ACC000618,TRADE_SETTLEMENT,-14382.00,INR
FND00000037,2026-04-21,ACC000618,DEPOSIT,50000.00,INR
FND00000038,2026-04-21,ACC000325,TRADE_SETTLEMENT,-15968.90,INR
FND00000039,2026-04-21,ACC000385,TRADE_SETTLEMENT,3157.95,INR
FND00000040,2026-04-21,ACC000393,TRADE_SETTLEMENT,79776.00,INR
FND00000041,2026-04-21,ACC000393,DEPOSIT,50000.00,INR
FND00000042,2026-04-21,ACC000308,TRADE_SETTLEMENT,10076.25,INR
FND00000043,2026-04-21,ACC000285,TRADE_SETTLEMENT,23977.00,INR
FND00000044,2026-04-21,ACC000741,TRADE_SETTLEMENT,-17374.80,INR
FND00000045,2026-04-21,ACC000057,TRADE_SETTLEMENT,-4525.90,INR
FND00000046,2026-04-21,ACC000127,TRADE_SETTLEMENT,106672.00,INR
FND00000047,2026-04-21,ACC000058,TRADE_SETTLEMENT,75507.00,INR
FND00000048,2026-04-21,ACC000411,TRADE_SETTLEMENT,15301.40,INR
FND00000049,2026-04-21,ACC000476,TRADE_SETTLEMENT,-5976.25,INR
FND00000050,2026-04-21,ACC000555,TRADE_SETTLEMENT,-4741.95,INR
FND00000051,2026-04-21,ACC000557,TRADE_SETTLEMENT,-235561.00,INR
FND00000052,2026-04-21,ACC000557,DEPOSIT,50000.00,INR
FND00000053,2026-04-21,ACC000632,TRADE_SETTLEMENT,2071.35,INR
FND00000054,2026-04-21,ACC000667,TRADE_SETTLEMENT,-57926.00,INR
FND00000055,2026-04-21,ACC000635,TRADE_SETTLEMENT,-55583.50,INR
FND00000056,2026-04-21,ACC000227,TRADE_SETTLEMENT,46760.80,INR
FND00000057,2026-04-21,ACC000227,DEPOSIT,10000.00,INR
FND00000058,2026-04-21,ACC000723,TRADE_SETTLEMENT,-1466.72,INR
FND00000059,2026-04-21,ACC000723,DEPOSIT,50000.00,INR
FND00000060,2026-04-21,ACC000463,TRADE_SETTLEMENT,-11081.10,INR
FND00000061,2026-04-21,ACC000625,TRADE_SETTLEMENT,-24897.00,INR
FND00000062,2026-04-21,ACC000447,TRADE_SETTLEMENT,-15603.10,INR
FND00000063,2026-04-21,ACC000504,TRADE_SETTLEMENT,-25451.80,INR
