settlement_id,trade_id,business_date,settlement_date,settlement_status
SET00000001,TRD00000001,2026-04-21,2026-04-22,SETTLED
SET00000002,TRD00000002,2026-04-21,2026-04-22,SETTLED
SET00000003,TRD00000003,2026-04-21,2026-04-22,SETTLED
SET00000004,TRD00000004,2026-04-21,2026-04-22,SETTLED
SET00000005,TRD00000005,2026-04-21,2026-04-22,SETTLED
SET00000006,TRD00000006,2026-04-21,2026-04-22,SETTLED
SET00000007,TRD00000007,2026-04-21,2026-04-22,SETTLED
SET00000008,TRD00000008,2026-04-21,2026-04-22,SETTLED
SET00000009,TRD00000009,2026-04-21,2026-04-22,SETTLED
SET00000010,TRD00000010,2026-04-21,2026-04-22,PENDING
SET00000011,TRD00000011,2026-04-21,2026-04-22,SETTLED
SET00000012,TRD00000012,2026-04-21,2026-04-22,SETTLED
SET00000013,TRD00000013,2026-04-21,2026-04-22,SETTLED
SET00000014,TRD00000014,2026-04-21,2026-04-22,SETTLED
SET00000015,TRD00000015,2026-04-21,2026-04-22,SETTLED
SET00000016,TRD00000016,2026-04-21,2026-04-22,SETTLED
SET00000017,TRD00000017,2026-04-21,2026-04-22,SETTLED
SET00000018,TRD00000018,2026-04-21,2026-04-22,SETTLED
SET00000019,TRD00000019,2026-04-21,2026-04-22,SETTLED
SET00000020,TRD00000020,2026-04-21,2026-04-22,PENDING
SET00000021,TRD00000021,2026-04-21,2026-04-22,SETTLED
SET00000022,TRD00000022,2026-04-21,2026-04-22,SETTLED
SET00000023,TRD00000023,2026-04-21,2026-04-22,SETTLED
SET00000024,TRD00000024,2026-04-21,2026-04-22,SETTLED
SET00000025,TRD00000025,2026-04-21,2026-04-22,SETTLED
SET00000026,TRD00000026,2026-04-21,2026-04-22,SETTLED
SET00000027,TRD00000027,2026-04-21,2026-04-22,SETTLED
SET00000028,TRD00000028,2026-04-21,2026-04-22,SETTLED
SET00000029,TRD00000029,2026-04-21,2026-04-22,SETTLED
SET00000030,TRD00000030,2026-04-21,2026-04-22,PENDING
SET00000031,TRD00000031,2026-04-21,2026-04-22,SETTLED
SET00000032,TRD00000032,2026-04-21,2026-04-22,SETTLED
SET00000033,TRD00000033,2026-04-21,2026-04-22,SETTLED
SET00000034,TRD00000034,2026-04-21,2026-04-22,SETTLED
SET00000035,TRD00000035,2026-04-21,2026-04-22,SETTLED
SET00000036,TRD00000036,2026-04-21,2026-04-22,SETTLED
SET00000037,TRD00000037,2026-04-21,2026-04-22,SETTLED
SET00000038,TRD00000038,2026-04-21,2026-04-22,SETTLED
SET00000039,TRD00000039,2026-04-21,2026-04-22,SETTLED
SET00000040,TRD00000040,2026-04-21,2026-04-22,PENDING
SET00000041,TRD00000041,2026-04-21,2026-04-22,SETTLED
SET00000042,TRD00000042,2026-04-21,2026-04-22,SETTLED
SET00000043,TRD00000043,2026-04-21,2026-04-22,SETTLED
SET00000044,TRD00000044,2026-04-21,2026-04-22,SETTLED
SET00000045,TRD00000045,2026-04-21,2026-04-22,SETTLED
SET00000046,TRD00000046,2026-04-21,2026-04-22,SETTLED
SET00000047,TRD00000047,2026-04-21,2026-04-22,SETTLED
SET00000048,TRD00000048,2026-04-21,2026-04-22,SETTLED
SET00000049,TRD00000049,2026-04-21,2026-04-22,SETTLED
SET00000050,TRD00000050,2026-04-21,2026-04-22,PENDING
SET00000051,TRD00000051,2026-04-21,2026-04-22,SETTLED
SET00000052,TRD00000052,2026-04-21,2026-04-22,SETTLED
SET00000053,TRD00000053,2026-04-21,2026-04-22,SETTLED
SET00000054,TRD00000054,2026-04-21,2026-04-22,SETTLED
SET00000055,TRD00000055,2026-04-21,2026-04-22,SETTLED
SET00000056,TRD00000056,2026-04-21,2026-04-22,SETTLED
SET00000057,TRD00000057,2026-04-21,2026-04-22,SETTLED
SET00000058,TRD00000058,2026-04-21,2026-04-22,SETTLED
SET00000059,TRD00000059,2026-04-21,2026-04-22,SETTLED
SET00000060,TRD00000060,2026-04-21,2026-04-22,PENDING
SET00000061,TRD00000061,2026-04-21,2026-04-22,SETTLED
SET00000062,TRD00000062,2026-04-21,2026-04-22,SETTLED
SET00000063,TRD00000063,2026-04-21,2026-04-22,SETTLED
SET00000064,TRD00000064,2026-04-21,2026-04-22,SETTLED
SET00000065,TRD00000065,2026-04-21,2026-04-22,SETTLED
SET00000066,TRD00000066,2026-04-21,2026-04-22,SETTLED
SET00000067,TRD00000067,2026-04-21,2026-04-22,SETTLED
SET00000068,TRD00000068,2026-04-21,2026-04-22,SETTLED
SET00000069,TRD00000069,2026-04-21,2026-04-22,SETTLED
SET00000070,TRD00000070,2026-04-21,2026-04-22,PENDING
SET00000071,TRD00000071,2026-04-21,2026-04-22,SETTLED
SET00000072,TRD00000072,2026-04-21,2026-04-22,SETTLED
SET00000073,TRD00000073,2026-04-21,2026-04-22,SETTLED
SET00000074,TRD00000074,2026-04-21,2026-04-22,SETTLED
SET00000075,TRD00000075,2026-04-21,2026-04-22,SETTLED
SET00000076,TRD00000076,2026-04-21,2026-04-22,SETTLED
SET00000077,TRD00000077,2026-04-21,2026-04-22,SETTLED
SET00000078,TRD00000078,2026-04-21,2026-04-22,SETTLED
SET00000079,TRD00000079,2026-04-21,2026-04-22,SETTLED
SET00000080,TRD00000080,2026-04-21,2026-04-22,PENDING
SET00000081,TRD00000081,2026-04-21,2026-04-22,SETTLED
SET00000082,TRD00000082,2026-04-21,2026-04-22,SETTLED
SET00000083,TRD00000083,2026-04-21,2026-04-22,SETTLED
SET00000084,TRD00000084,2026-04-21,2026-04-22,SETTLED
SET00000085,TRD00000085,2026-04-21,2026-04-22,SETTLED
SET00000086,TRD00000086,2026-04-21,2026-04-22,SETTLED
SET00000087,TRD00000087,2026-04-21,2026-04-22,SETTLED
SET00000088,TRD00000088,2026-04-21,2026-04-22,SETTLED
SET00000089,TRD00000089,2026-04-21,2026-04-22,SETTLED
SET00000090,TRD00000090,2026-04-21,2026-04-22,PENDING
SET00000091,TRD00000091,2026-04-21,2026-04-22,SETTLED
SET00000092,TRD00000092,2026-04-21,2026-04-22,SETTLED
SET00000093,TRD00000093,2026-04-21,2026-04-22,SETTLED
SET00000094,TRD00000094,2026-04-21,2026-04-22,SETTLED
SET00000095,TRD00000095,2026-04-21,2026-04-22,SETTLED
SET00000096,TRD00000096,2026-04-21,2026-04-22,SETTLED
SET00000097,TRD00000097,2026-04-21,2026-04-22,SETTLED
